NeighbourhoodCode,Year,Month,PropertyCrimesTotal,PropertyCrimesRelPop,PropertyCrimesRelCity,ViolentCrimesTotal,ViolentCrimesRelPop,ViolentCrimesRelCity,BurglariesTotal,BurglariesRelPop,BurglariesRelCity
Bavel,2022,8,3.0,0.9097,0.3984,0.0,0.0,0.0,0.0,0.0,0.0
Bavel,2022,9,14.0,3.3357,1.4608,0.0,0.0,0.0,1.0,0.3032,1.0989
Bavel,2022,10,12.0,3.0324,1.328,1.0,0.0,0.0,0.0,0.0,0.0
Bavel,2022,11,27.0,0.3032,0.1328,1.0,0.0,0.0,0.0,0.0,0.0
Bavel,2022,12,16.0,2.4259,1.0624,1.0,0.0,0.0,0.0,0.0,0.0
Belcrum,2012,1,17.0,5.1551,2.2576,0.0,0.3032,1.4085,2.0,0.6065,2.1978
Belcrum,2012,2,14.0,3.3357,1.4608,0.0,0.6065,2.8169,0.0,0.0,0.0
Belcrum,2012,3,6.0,6.6714,2.9216,1.0,0.6065,2.8169,2.0,0.6065,2.1978
Belcrum,2012,4,9.0,9.0973,3.9841,2.0,1.213,5.6338,2.0,0.6065,2.1978
Belcrum,2012,5,11.0,1.8195,0.7968,0.0,0.0,0.0,4.0,1.213,4.3956
Belcrum,2012,6,16.0,3.3357,1.4608,0.0,0.6065,2.8169,2.0,0.6065,2.1978
Belcrum,2012,7,21.0,2.7292,1.1952,2.0,0.0,0.0,2.0,0.6065,2.1978
Belcrum,2012,8,26.0,0.6065,0.2656,0.0,0.0,0.0,0.0,0.0,0.0
Belcrum,2012,9,18.0,6.9746,3.0544,0.0,0.0,0.0,2.0,0.6065,2.1978
Belcrum,2012,10,26.0,1.213,0.5312,1.0,0.0,0.0,1.0,0.3032,1.0989
Belcrum,2012,11,10.0,1.5162,0.664,2.0,0.3032,1.4085,0.0,0.0,0.0
Belcrum,2012,12,6.0,0.3032,0.1328,0.0,0.3032,1.4085,0.0,0.0,0.0
Belcrum,2013,1,14.0,2.1227,0.9296,1.0,0.3032,1.4085,1.0,0.3032,1.0989
Belcrum,2013,2,15.0,0.9097,0.3984,1.0,0.0,0.0,0.0,0.0,0.0
Belcrum,2013,3,20.0,1.8195,0.7968,3.0,0.3032,1.4085,0.0,0.0,0.0
Belcrum,2013,4,16.0,1.8195,0.7968,1.0,0.0,0.0,0.0,0.0,0.0
Belcrum,2013,5,10.0,10.6135,4.6481,0.0,0.6065,2.8169,2.0,0.6065,2.1978
Belcrum,2013,6,10.0,11.5233,5.0465,0.0,0.0,0.0,8.0,2.4259,8.7912
Belcrum,2013,7,9.0,4.2454,1.8592,0.0,0.0,0.0,0.0,0.0,0.0
Belcrum,2013,8,9.0,7.5811,3.3201,0.0,0.3032,1.4085,4.0,1.213,4.3956
Belcrum,2013,9,5.0,2.1227,0.9296,1.0,1.8195,8.4507,1.0,0.3032,1.0989
Belcrum,2013,10,9.0,9.4006,4.1169,1.0,1.5162,7.0423,3.0,0.9097,3.2967
Belcrum,2013,11,9.0,2.4259,1.0624,0.0,0.0,0.0,1.0,0.3032,1.0989
Belcrum,2013,12,5.0,5.7616,2.5232,0.0,0.6065,2.8169,0.0,0.0,0.0
Belcrum,2014,1,19.0,7.8843,3.4529,3.0,2.1227,9.8592,2.0,0.6065,2.1978
Belcrum,2014,2,23.0,1.8195,0.7968,0.0,0.0,0.0,1.0,0.3032,1.0989
Belcrum,2014,3,11.0,5.4584,2.3904,0.0,0.3032,1.4085,1.0,0.3032,1.0989
Belcrum,2014,4,18.0,0.3032,0.1328,3.0,0.0,0.0,0.0,0.0,0.0
Belcrum,2014,5,13.0,0.3032,0.1328,0.0,0.0,0.0,0.0,0.0,0.0
Belcrum,2014,6,15.0,1.5162,0.664,0.0,0.3032,1.4085,1.0,0.3032,1.0989
Belcrum,2014,7,7.0,1.8195,0.7968,0.0,0.0,0.0,2.0,0.6065,2.1978
Belcrum,2014,8,10.0,4.8519,2.1248,2.0,0.6065,2.8169,2.0,0.6065,2.1978
Belcrum,2014,9,15.0,5.4584,2.3904,0.0,0.6065,2.8169,1.0,0.3032,1.0989
Belcrum,2014,10,14.0,7.5811,3.3467,2.0,0.6065,3.3333,4.0,1.213,5.2632
Belcrum,2014,11,10.0,2.7292,1.2048,1.0,0.6065,3.3333,0.0,0.0,0.0
Belcrum,2014,12,19.0,8.4908,3.7483,3.0,1.213,6.6667,3.0,0.9097,3.9474
Belcrum,2015,1,17.0,2.4259,1.071,1.0,0.0,0.0,0.0,0.0,0.0
Belcrum,2015,2,18.0,6.6714,2.9451,2.0,0.0,0.0,3.0,0.9097,3.9474
Belcrum,2015,3,14.0,8.4908,3.7483,1.0,0.6065,3.3333,5.0,1.5162,6.5789
Belcrum,2015,4,19.0,0.6065,0.2677,2.0,0.0,0.0,1.0,0.3032,1.3158
Belcrum,2015,5,11.0,0.3032,0.1339,3.0,0.0,0.0,0.0,0.0,0.0
Belcrum,2015,6,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belcrum,2015,7,15.0,0.3032,0.1339,1.0,0.0,0.0,0.0,0.0,0.0
Belcrum,2015,8,11.0,30.3244,13.3869,1.0,2.7292,15.0,3.0,0.9097,3.9474
Belcrum,2015,9,8.0,6.0649,2.6774,2.0,0.6065,3.3333,1.0,0.3032,1.3158
Belcrum,2015,10,24.0,1.213,0.5355,1.0,0.0,0.0,3.0,0.9097,3.9474
Belcrum,2015,11,26.0,1.8195,0.8032,2.0,0.0,0.0,3.0,0.9097,3.9474
Belcrum,2015,12,11.0,1.5162,0.6693,1.0,0.0,0.0,0.0,0.0,0.0
Belcrum,2016,1,22.0,3.0324,1.3387,2.0,0.0,0.0,2.0,0.6065,2.6316
Belcrum,2016,2,17.0,0.6065,0.2677,1.0,0.3032,1.6667,0.0,0.0,0.0
Belcrum,2016,3,15.0,1.213,0.5355,3.0,0.0,0.0,2.0,0.6065,2.6316
Belcrum,2016,4,19.0,3.6389,1.6064,0.0,0.3032,1.6667,0.0,0.0,0.0
Belcrum,2016,5,10.0,3.9422,1.7403,1.0,1.5162,8.3333,1.0,0.3032,1.3158
Belcrum,2016,6,15.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Belcrum,2016,7,14.0,1.5162,0.6693,5.0,0.0,0.0,0.0,0.0,0.0
Belcrum,2016,8,18.0,8.1876,3.6145,3.0,0.0,0.0,0.0,0.0,0.0
Belcrum,2016,9,20.0,1.213,0.5355,0.0,0.3032,1.6667,0.0,0.0,0.0
Belcrum,2016,10,17.0,2.7292,1.2048,3.0,0.3032,1.6667,1.0,0.3032,1.3158
Belcrum,2016,11,17.0,14.8589,6.5596,1.0,0.9097,5.0,3.0,0.9097,3.9474
Belcrum,2016,12,17.0,0.3032,0.1339,0.0,0.0,0.0,0.0,0.0,0.0
Belcrum,2017,1,9.0,3.6389,1.6064,3.0,0.0,0.0,3.0,0.9097,3.9474
Belcrum,2017,2,6.0,2.4259,1.071,3.0,0.6065,3.3333,0.0,0.0,0.0
Belcrum,2017,3,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Belcrum,2017,4,12.0,7.5811,3.3467,0.0,0.3032,1.6667,1.0,0.3032,1.3158
Belcrum,2017,5,20.0,0.3032,0.1339,1.0,0.0,0.0,0.0,0.0,0.0
Belcrum,2017,6,15.0,0.6065,0.2677,3.0,0.0,0.0,0.0,0.0,0.0
Belcrum,2017,7,14.0,0.9097,0.4016,1.0,0.0,0.0,2.0,0.6065,2.6316
Belcrum,2017,8,14.0,2.1227,0.9371,2.0,0.3032,1.6667,0.0,0.0,0.0
Belcrum,2017,9,10.0,0.0,0.0,0.0,0.3032,1.6667,0.0,0.0,0.0
Belcrum,2017,10,12.0,1.213,0.5355,1.0,0.3032,1.6667,1.0,0.3032,1.3158
Belcrum,2017,11,18.0,1.213,0.5355,4.0,0.0,0.0,0.0,0.0,0.0
Belcrum,2017,12,6.0,15.1622,6.6934,2.0,0.0,0.0,4.0,1.213,5.2632
Belcrum,2018,1,11.0,6.9746,3.079,2.0,0.0,0.0,6.0,1.8195,7.8947
Belcrum,2018,2,12.0,3.6389,1.6064,3.0,0.3032,1.6667,2.0,0.6065,2.6316
Belcrum,2018,3,14.0,5.4584,2.4096,7.0,2.1227,11.6667,2.0,0.6065,2.6316
Belcrum,2018,4,11.0,2.4259,1.071,3.0,0.0,0.0,1.0,0.3032,1.3158
Belcrum,2018,5,17.0,7.5811,3.3467,0.0,1.213,6.6667,0.0,0.0,0.0
Belcrum,2018,6,11.0,1.5162,0.6693,1.0,0.3032,1.6667,1.0,0.3032,1.3158
Belcrum,2018,7,8.0,6.9746,3.079,4.0,0.0,0.0,2.0,0.6065,2.6316
Belcrum,2018,8,9.0,6.3681,2.8112,3.0,0.6065,3.3333,1.0,0.3032,1.3158
Belcrum,2018,9,10.0,8.1876,3.6145,0.0,0.3032,1.6667,2.0,0.6065,2.6316
Belcrum,2018,10,17.0,5.1551,2.2758,2.0,0.3032,1.6667,1.0,0.3032,1.3158
Belcrum,2018,11,8.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
Belcrum,2018,12,9.0,2.4259,1.071,0.0,0.0,0.0,2.0,0.6065,2.6316
Belcrum,2019,1,7.0,1.5162,0.6693,0.0,0.3032,1.6667,1.0,0.3032,1.3158
Belcrum,2019,2,9.0,3.0324,1.3387,3.0,0.0,0.0,2.0,0.6065,2.6316
Belcrum,2019,3,6.0,2.4259,1.071,2.0,0.9097,5.0,4.0,1.213,5.2632
Belcrum,2019,4,7.0,7.8843,3.4806,3.0,0.0,0.0,3.0,0.9097,3.9474
Belcrum,2019,5,13.0,4.8519,1.8957,2.0,0.3032,1.5625,1.0,0.3032,2.2222
Belcrum,2019,6,10.0,3.3357,1.3033,3.0,0.0,0.0,1.0,0.3032,2.2222
Belcrum,2019,7,12.0,6.6714,2.6066,2.0,0.0,0.0,1.0,0.3032,2.2222
Belcrum,2019,8,6.0,3.6389,1.4218,1.0,0.9097,4.6875,0.0,0.0,0.0
